-DOCSTART- -X- -X- -X- O

A	O
64	B-Age
year	I-Age
old	I-Age
female	O
known	O
for	O
HHT	B-Disease_disorder
is	O
referred	O
to	O
our	O
clinic	B-Nonbiological_location
for	O
recurrent	B-Detailed_description
epistaxis	B-Sign_symptom
for	O
nearly	B-Duration
50	I-Duration
years	I-Duration
.	O

She	O
has	O
had	O
recurrent	O
symptoms	O
since	O
the	O
age	O
of	O
16	O
when	O
her	O
condition	O
was	O
diagnosed	O
.	O

All	O
three	O
of	O
her	O
siblings	O
also	O
were	O
diagnosed	O
with	O
HHT	O
and	O
her	O
mother	O
passed	O
away	O
from	O
an	O
intracranial	O
hemorrhage	O
.	O

Eight	O
years	O
prior	O
to	O
presentation	O
she	O
had	O
undergone	O
a	O
left	B-Detailed_description
-	I-Detailed_description
sided	I-Detailed_description
septodermoplasty	B-Therapeutic_procedure
via	O
a	O
lateral	B-Detailed_description
rhinotomy	B-Therapeutic_procedure
approach	O
.	O

This	O
operation	O
had	O
significantly	O
reduced	O
the	O
frequency	O
of	O
her	O
symptoms	B-Sign_symptom
and	O
for	B-Duration
several	I-Duration
years	I-Duration
her	O
epistaxis	B-Sign_symptom
was	O
under	B-Lab_value
control	I-Lab_value
with	O
the	O
use	O
of	O
low	B-Dosage
dose	I-Dosage
thalidomide	B-Medication
.	O

However	O
,	O
she	O
was	O
referred	O
to	O
our	O
clinic	B-Nonbiological_location
due	O
to	O
increased	B-Detailed_description
epistaxis	B-Sign_symptom
severity	B-Severity
and	O
frequency	B-Frequency
over	B-Duration
the	I-Duration
prior	I-Duration
12	I-Duration
months	I-Duration
necessitating	O
more	O
frequent	O
transfusions	B-Therapeutic_procedure
.	O

At	O
the	O
time	O
of	O
consultation	O
the	O
patient	O
was	O
concerned	O
about	O
daily	B-Frequency
severe	B-Severity
left	B-Biological_structure
sided	I-Biological_structure
epistaxis	B-Sign_symptom
despite	O
several	B-Duration
months	I-Duration
use	O
of	O
topical	O
bevacizumab	B-Medication
and	O
oral	O
tranexamic	B-Medication
acid	I-Medication
.	O

She	O
required	O
intravenous	O
iron	B-Medication
and	O
blood	B-Therapeutic_procedure
transfusions	I-Therapeutic_procedure
every	B-Frequency
two	I-Frequency
months	I-Frequency
.	O

Her	O
baseline	O
hemoglobin	B-Diagnostic_procedure
at	O
the	O
time	O
of	O
our	O
consultation	O
was	O
75	B-Lab_value
g	I-Lab_value
/	I-Lab_value
L	I-Lab_value
(	O
normal	O
=	O
120	O
-	O
160	O
g	O
/	O
L	O
)	O
.	O

Her	O
HHT	B-Diagnostic_procedure
epistaxis	I-Diagnostic_procedure
severity	I-Diagnostic_procedure
score	I-Diagnostic_procedure
[	O
17	O
]	O
was	O
severe	B-Lab_value
(	O
normalized	B-Lab_value
score	I-Lab_value
9	I-Lab_value
.	I-Lab_value
49	I-Lab_value
)	O
.	O

On	O
examination	B-Diagnostic_procedure
,	O
she	O
had	O
multiple	B-Detailed_description
telangiectasia	B-Sign_symptom
on	O
her	O
fingers	B-Biological_structure
,	O
face	B-Biological_structure
,	O
lips	B-Biological_structure
and	O
palate	B-Biological_structure
.	O

Her	O
endoscopic	B-Diagnostic_procedure
examination	I-Diagnostic_procedure
revealed	O
bilateral	B-Detailed_description
telangiectasia	B-Sign_symptom
along	O
the	O
nasal	B-Biological_structure
septum	I-Biological_structure
.	O

There	O
was	O
extensive	B-Severity
crusting	B-Sign_symptom
along	O
the	O
entire	O
left	B-Biological_structure
nasal	I-Biological_structure
cavity	I-Biological_structure
with	O
which	O
any	O
manipulation	B-Diagnostic_procedure
resulted	O
in	O
immediate	B-Detailed_description
profuse	B-Severity
epistaxis	B-Sign_symptom
.	O

Given	O
the	O
severity	O
of	O
the	O
patient	O
`	O
s	O
epistaxis	O
despite	O
medical	O
therapy	O
,	O
she	O
was	O
offered	O
endoscopic	B-Detailed_description
left	B-Detailed_description
-	I-Detailed_description
sided	I-Detailed_description
septodermoplasty	B-Therapeutic_procedure
.	O

The	O
surgical	O
goals	O
were	O
to	O
improve	O
her	O
quality	O
of	O
life	O
by	O
reducing	O
the	O
number	O
and	O
severity	O
of	O
epistaxis	O
episodes	O
while	O
diminishing	O
the	O
need	O
for	O
blood	O
transfusions	O
.	O

The	O
patient	O
was	O
content	O
with	O
the	O
treatment	O
plan	O
and	O
agreed	O
to	O
undergo	O
surgical	O
intervention	O
.	O

The	O
endoscopic	B-Therapeutic_procedure
procedure	I-Therapeutic_procedure
was	O
performed	O
under	O
general	B-Medication
anesthesia	I-Medication
with	O
endotracheal	B-Detailed_description
intubation	B-Therapeutic_procedure
.	O

The	O
nasal	B-Biological_structure
cavity	I-Biological_structure
was	O
prepared	B-Therapeutic_procedure
by	O
inserting	B-Detailed_description
pledgets	I-Detailed_description
soaked	O
in	O
topical	O
adrenaline	B-Medication
(	O
1:1000	B-Dosage
)	O
placed	O
in	O
both	B-Biological_structure
nostrils	I-Biological_structure
for	O
decongestion	O
.	O

Using	B-Detailed_description
a	I-Detailed_description
zero	I-Detailed_description
degree	I-Detailed_description
endoscope	I-Detailed_description
the	O
residual	B-Biological_structure
STSG	I-Biological_structure
and	I-Biological_structure
mucosa	I-Biological_structure
of	I-Biological_structure
the	I-Biological_structure
left	I-Biological_structure
septum	I-Biological_structure
was	O
dissected	B-Therapeutic_procedure
in	B-Detailed_description
a	I-Detailed_description
supraperichondrial	I-Detailed_description
plane	I-Detailed_description
that	O
resulted	O
in	O
the	O
expected	O
significant	B-Severity
diffuse	B-Detailed_description
hemorrhage	B-Sign_symptom
.	O

Immediate	B-Detailed_description
hemostasis	B-Therapeutic_procedure
was	O
attained	O
using	O
a	O
topical	B-Detailed_description
gelatin	I-Detailed_description
-	I-Detailed_description
thrombin	I-Detailed_description
matrix	I-Detailed_description
,	O
Floseal	B-Detailed_description
(	O
FloSeal	O
Hemostatic	O
Matrix	O
;	O
Baxter	O
Healthcare	O
Corporation	O
,	O
Deerfield	O
,	O
IL	O
,	O
USA	O
)	O
(	O
Fig	O
.	O
1	O
)	O
.	O

The	O
mucosal	B-Sign_symptom
defect	I-Sign_symptom
(	O
Fig	O
.	O
2	O
)	O
measured	O
approximately	O
3	B-Distance
cm	I-Distance
in	O
anterior	B-Detailed_description
-	I-Detailed_description
posterior	I-Detailed_description
dimension	I-Detailed_description
.	O

A	O
4	B-Area
x	I-Area
2	I-Area
cm	I-Area
split	I-Area
thickness	I-Area
skin	B-Therapeutic_procedure
graft	I-Therapeutic_procedure
was	I-Therapeutic_procedure
harvested	I-Therapeutic_procedure
from	O
the	O
right	B-Biological_structure
thigh	I-Biological_structure
,	O
pie	B-Detailed_description
-	I-Detailed_description
crusted	I-Detailed_description
with	I-Detailed_description
a	I-Detailed_description
15	I-Detailed_description
blade	I-Detailed_description
and	O
then	O
placed	B-Detailed_description
endoscopically	I-Detailed_description
along	B-Biological_structure
the	I-Biological_structure
length	I-Biological_structure
of	I-Biological_structure
the	I-Biological_structure
septal	I-Biological_structure
defect	I-Biological_structure
.	O

As	O
seen	O
in	O
Fig	O
.	O
3	O
,	O
the	O
graft	O
was	O
placed	O
with	O
an	O
overlap	B-Biological_structure
of	I-Biological_structure
the	I-Biological_structure
mucosa	I-Biological_structure
of	I-Biological_structure
the	I-Biological_structure
nasal	I-Biological_structure
floor	I-Biological_structure
and	I-Biological_structure
the	I-Biological_structure
residual	I-Biological_structure
superior	I-Biological_structure
septal	I-Biological_structure
mucosa	I-Biological_structure
.	O

Finally	O
,	O
2	B-Volume
mL	I-Volume
of	O
fibrin	B-Detailed_description
sealant	I-Detailed_description
(	O
TISSEEL	O
fibrin	O
sealant	O
,	O
Baxter	O
Healthcare	O
Corporation	O
,	O
Deerfield	O
,	O
IL	O
,	O
USA	O
)	O
was	O
then	O
applied	B-Detailed_description
first	I-Detailed_description
to	I-Detailed_description
the	I-Detailed_description
edges	I-Detailed_description
then	I-Detailed_description
central	I-Detailed_description
portion	I-Detailed_description
of	I-Detailed_description
the	I-Detailed_description
STSG	I-Detailed_description
(	O
Fig	O
.	O
4	O
)	O
.	O

Packing	B-Therapeutic_procedure
was	O
not	O
used	O
post	O
-	O
operatively	O
and	O
the	O
patient	O
